21  12  66   57   61  93  85  23   18  59   42   37  3   14  68  55  82   70   99  58   96  58   14   88   60  49   100  95  71  49
66  68  49   10   89  87  83  99   5   3    3    66  96  72  9   11  84   11   63  38   77  95   91   98   15  29   32   11  25  47
82  4   42   76   52  23  51  31   1   12   65   76  16  88  48  8   17   54   63  97   19  39   51   79   11  100  2    14  42  2
12  0   5    10   23  38  85  87   19  65   77   70  99  1   38  10  87   72   96  92   7   55   97   25   89  76   5    50  56  30
85  22  27   99   14  37  60  1    94  91   35   66  9   47  30  24  100  9    70  88   22  29   28   59   96  57   44   26  89  12
20  64  58   30   7   59  97  82   24  100  87   32  0   53  30  71  18   36   39  4    80  60   100  47   19  56   66   47  49  45
36  0   1    97   72  46  66  65   21  60   49   93  21  20  19  68  4    80   91  14   74  5    13   29   17  29   89   51  70  3
51  48  83   38   32  28  81  92   4   59   53   90  11  50  63  42  62   88   55  60   16  36   33   50   53  14   62   66  72  89
52  37  96   63   36  33  35  48   69  19   61   3   94  88  59  66  91   74   42  25   68  51   27   11   67  2    62   56  40  11
17  35  26   4    46  66  51  75   1   20   66   50  34  18  53  41  49   31   7   21   11  83   98   84   3   89   87   72  44  48
4   4   30   34   98  97  93  17   10  47   30   93  36  96  40  80  72   28   97  14   19  90   52   40   48  58   51   15  33  19
45  92  70   87   60  92  42  80   9   1    14   76  81  32  10  35  76   29   93  97   30  35   83   26   75  34   5    70  16  99
97  31  32   62   64  47  96  37   24  12   21   90  12  70  55  58  54   15   80  62   32  100  77   37   38  21   4    8   34  71
97  20  94   35   17  51  98  93   88  70   78   2   93  4   48  28  29   100  13  23   31  61   16   46   97  4    50   94  46  89
83  50  86   91   65  27  36  28   31  88   85   31  13  96  41  96  75   10   67  52   89  3    78   42   79  37   67   49  69  38
70  81  78   47   62  4   25  14   77  5    93   11  34  88  85  64  20   73   73  32   98  98   92   40   64  22   36   57  44  41
71  20  39   21   66  8   28  21   90  15   100  25  66  74  29  35  48   57   58  46   98  61   84   100  25  8    32   94  9   60
86  17  71   13   76  41  44  48   23  65   4    21  55  54  23  61  5    15   73  92   91  93   3    71   11  94   6    9   63  47
73  48  63   69   23  17  33  84   17  84   62   51  77  46  17  79  1    77   28  72   99  36   16   69   96  78   76   16  88  49
45  70  86   57   14  16  8   100  43  9    71   98  38  43  60  42  65   15   2   68   64  61   100  3    53  9    15   43  22  32
60  17  67   100  75  99  25  77   76  61   77   95  79  74  4   69  24   74   18  65   7   94   71   76   91  48   40   10  78  70
25  66  100  92   35  82  92  54   10  62   83   93  71  5   51  45  34   33   35  13   52  78   44   50   30  87   69   80  86  11
40  64  30   84   45  14  58  81   93  62   38   89  10  36  45  20  42   41   50  60   95  9    15   72   17  23   94   97  89  98
55  61  12   76   56  97  75  7    25  12   94   86  51  67  90  96  51   99   15  56   37  41   87   94   54  10   18   62  94  85
57  40  36   74   64  5   30  71   3   32   57   63  64  91  78  40  56   70   37  84   90  17   21   14   77  33   63   37  76  76
22  88  68   16   74  38  97  48   37  83   12   10  54  21  23  65  14   79   53  81   33  50   43   37   14  19   39   55  30  14
67  43  51   69   52  32  45  23   74  26   24   39  47  79  15  72  15   20   17  60   65  37   17   47   69  100  72   73  85  62
82  90  32   10   11  13  10  100  6   26   29   35  37  59  9   97  23   78   82  6    56  68   38   18   5   35   96   88  38  98
29  40  24   32   8   29  21  56   11  66   22   29  82  97  70  10  8    93   20  100  38  16   20   75   61  89   60   37  12  40
81  29  86   57   11  84  74  63   25  25   28   42  13  33  64  32  85   78   55  13   89  30   62   33   72  75   5    23  27  9
